t,pJAK1_gp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA4_Obs
0,0.000354017138033128,30.1986143988793,27.3308821736839,0.000170806888615265,0.000139975970668387
8.5,NaN,25.0807379903175,NaN,NaN,NaN
10,0.000460726583643592,NaN,39.2915577200911,NaN,0.00302862933109985
15,NaN,25.7828146198528,NaN,0.0083618533933858,NaN
20,NaN,NaN,30.7798090130084,NaN,NaN
25,0.000358554597612235,26.0671588145467,NaN,NaN,0.00457663784895434
30,NaN,NaN,26.562185853096,0.00101434271174933,NaN
35,0.000354433267614293,30.7461956629764,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,0.000560187746375443
45,NaN,NaN,28.8206061347221,0.000208872225017648,NaN
50,0.000335875474163996,28.6079047688663,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,0.000211535314220454
60,NaN,27.5417987514603,26.992972218543,0.000135576049021223,NaN
65,0.000361443538243163,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,0.000111748993971083
75,NaN,30.5560822936584,NaN,NaN,NaN
80,NaN,NaN,26.8166077430647,-2.40134663260661e-05,NaN
85,0.000342949240329012,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,0.000153657075099755
95,NaN,31.0305618291859,NaN,NaN,NaN
100,0.000370736999738664,29.3216125700191,26.5143004901473,8.25782643834356e-05,0.00014438709150986
150,0.000370935827058371,NaN,NaN,8.24148785179496e-05,0.000142009057318523
