t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA4_Obs
0,28.185945523674,27.4473692201741,7.72056103067706e-05,0.000168482748489727
8.5,24.5452025916937,NaN,NaN,NaN
10,NaN,43.2521889948552,NaN,NaN
15,NaN,NaN,0.0102282869181255,0.00839987337612962
20,27.9484843148672,32.8474848433694,NaN,NaN
25,NaN,NaN,0.00301508109432852,NaN
30,28.5567561805652,NaN,NaN,0.00304748959440505
35,NaN,26.7769786692122,NaN,NaN
40,28.4794593740702,NaN,0.000235795327905666,NaN
45,NaN,NaN,NaN,0.000195574161442749
50,27.7836785434072,27.060020669335,NaN,NaN
55,NaN,NaN,0.000240529652152929,NaN
60,NaN,NaN,NaN,0.000159587742089149
65,29.6867440749457,24.8066093915521,NaN,NaN
75,NaN,NaN,0.000155093446222379,NaN
80,28.2153308290895,27.1884514541622,NaN,0.000133305851104948
95,NaN,NaN,7.76780757487455e-05,NaN
100,28.0153317830593,25.9702110496511,0.000284780169431258,0.00013801865354873
150,NaN,27.3746532782057,-2.54940856322789e-05,-7.81866885955231e-06
