t,input_il6,SOCS3RNA_Obs
580,0.1,4.95300017228227e-05
580,0.1,5.50552749596866e-05
580,0.5,4.48441128963165e-05
580,0.5,5.85512650017636e-05
580,1,1.50766654543292e-05
580,1,2.32693133357585e-05
580,2.5,0.000114085689196666
580,2.5,0.000171663097239198
580,5,0.000245797664893032
580,5,0.000256206706477233
580,10,0.000456214034778648
580,10,0.000457987250506862
580,25,0.000850660097819067
580,25,0.000879946805007602
580,50,0.00122030816882426
580,50,0.00122264193174839
580,100,0.00155886834597657
580,100,0.00158121668918918
580,500,0.00217606907389653
580,500,0.00218629929841965
