t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA4_Obs
0,28.7184825278782,27.7561193766087,0.000477853375409745,-2.70164259229403e-05
10,23.6578394534231,46.2760766135822,NaN,NaN
20,NaN,48.7860187445738,NaN,NaN
25,22.9287624597222,NaN,0.0229863860348543,0.0217341095666359
35,21.0664531147142,47.6644407683062,NaN,NaN
50,23.9180666337583,44.8287055521325,0.0172838114997976,NaN
55,NaN,NaN,NaN,0.0171638258753724
65,NaN,45.7905517983493,NaN,NaN
70,23.1915470299794,NaN,NaN,NaN
75,NaN,NaN,0.0140109321327097,NaN
80,NaN,41.8006497513569,NaN,NaN
85,NaN,NaN,NaN,0.0142973750630254
90,23.7184072792334,NaN,NaN,NaN
100,23.0217919778934,40.9658272443795,0.0127932543843749,0.013739068715378
150,30.3622497541456,27.6202283770987,1.94378639075293e-05,0.000938625592754022
200,NaN,NaN,0.000200507785978401,0.000167940027351455
250,NaN,NaN,0.000206552527197607,0.000174957213502735
300,NaN,NaN,-7.64389507356454e-05,0.000436886881798709
350,NaN,NaN,0.000224585513459727,0.000168328264114489
450,NaN,NaN,-0.000258722088821991,-0.000339449328027103
