t,input_il6,SOCS3RNA_Obs
72,0,1.72459642479486e-06
72,0,-4.11829825633701e-06
72,0.5,2.14792686214266e-06
72,0.5,1.0771141762823e-06
72,1,-3.94734516628923e-06
72,1,7.40138986526413e-06
72,2.5,2.03441296252978e-05
72,2.5,3.72363276674766e-05
72,5,0.000249769278348829
72,5,0.000243350667305497
72,10,-4.40938203612076e-06
72,10,6.21766847599027e-06
72,25,6.66352341634561e-05
72,25,6.91924211598848e-05
72,50,1.55379476123836e-05
72,50,1.55090683307963e-05
72,100,0.000144902883945011
72,100,0.00014259137123862
72,500,0.000470621578310831
72,500,0.00046836017690161
