t,pJAK1_gp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,0.000305668309311911,32.3047680423109,25.7707195448662,0.000137850374078183,0.000480089679192225,-7.75483201993876e-05,0.000203670395087443,0.00525532339504834
20,0.00675727253989289,27.503669380227,35.0508861267115,0.00628404324357522,0.00592687501817149,NaN,0.00412329475772703,0.0267626244099763
25,NaN,NaN,NaN,NaN,NaN,0.00645055851208803,NaN,NaN
35,NaN,NaN,37.2715941728482,NaN,NaN,NaN,NaN,NaN
40,0.00626055041645716,28.3676831690816,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,0.00606336855777497,0.00626115685720417,NaN,0.00647613669221232,0.113427433148328
50,NaN,NaN,NaN,NaN,NaN,0.00649219806574043,NaN,NaN
55,NaN,NaN,33.8065512487761,NaN,NaN,NaN,NaN,NaN
60,0.00603690472893274,24.7349785457163,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,0.00569706703193295,0.00558536664352293,NaN,0.00573544651392268,0.108733740627933
75,NaN,NaN,35.2711762037615,NaN,NaN,0.00576508580644058,NaN,NaN
80,NaN,23.4571679618258,NaN,NaN,NaN,NaN,NaN,NaN
85,0.00594123970063109,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,0.00540853190695295,0.00532188751775289,NaN,0.0055991762595896,0.102249951092257
100,0.0054520447175322,24.8294286355245,34.471820807903,NaN,NaN,0.00514478279119677,0.00533930658492055,NaN
150,0.00501165063126446,25.4996573111382,34.3261713085294,0.00495079599194891,0.00508991245647294,0.0046760288428972,0.0050851871848824,0.0927788434627819
200,0.00480416400937608,26.0950365533508,33.353006512223,0.0050177775811711,0.0043658355046233,0.00479144132636361,0.00440391677185091,0.0832177345323437
250,0.00491139899350304,27.3437403380767,33.4717793829105,0.00454118594434595,0.00462101213514296,0.00418630844947754,0.00450072016043834,0.0837197490302245
300,NaN,27.6956214843334,32.983827234679,0.00457861245864486,0.00435721924869501,0.00449425354945964,0.00437352345000779,0.0846583009027258
350,0.00463703169612666,27.517985631035,35.0007214798486,NaN,0.00463186160839912,NaN,0.00431229745651371,0.0833723516043203
400,NaN,NaN,NaN,0.00451259118773069,NaN,0.00437109575880508,NaN,NaN
