t,input_il6,SOCS3RNA_Obs
48,0,9.91387901984973e-06
48,0,4.25931942909707e-05
48,0.0005,5.24788644971549e-05
48,0.0005,-1.74699140981135e-07
48,0.005,-4.03356803505366e-05
48,0.005,0.000120458132947177
48,0.005,7.18006345075239e-05
48,0.005,-8.46941406684642e-05
48,0.005,6.34256290346336e-05
48,0.005,3.96754607934874e-05
48,0.05,8.0814806447926e-05
48,0.05,-0.000189737598493736
48,0.1,4.65327131516721e-05
48,0.1,-8.10525698646741e-06
48,0.5,0.000124442973203594
48,0.5,2.00608673108146e-05
48,0.5,0.000105450264123542
48,0.5,8.96626294890611e-05
48,0.5,-3.03510517458652e-05
48,0.5,0.000138983016813695
48,1,0.000105372969429476
48,1,-3.72217239791622e-05
48,2.5,0.000656571106643426
48,2.5,0.000732281391461871
48,2.5,0.000597536068904174
48,2.5,0.000665369878064655
48,2.5,0.000630274026793578
48,2.5,0.000482198853208727
48,5,0.000553386972459839
48,5,0.000651983741217748
48,5,0.00321443987491385
48,5,0.00318571789572072
48,5,0.00321657609119214
48,5,0.00306150594391296
48,10,0.00313402331942802
48,10,0.00321130174988608
48,10,0.00317517455699372
48,10,0.00302380219073206
48,10,0.000144911195589206
48,10,9.80578941218446e-05
48,10,8.77677973800436e-05
48,10,0.000177387002022784
48,25,0.000213119920146724
48,25,0.000199814053471772
48,25,0.00377344983681414
48,25,0.00363651685921083
48,25,0.00368071182482535
48,25,0.0037566519052719
48,50,0.00374627042525453
48,50,0.00386885634227424
48,100,0.00371361156281673
48,100,0.00390063364438837
48,100,0.00147010812835904
48,100,0.00153010216383316
48,100,0.00148054070829327
48,100,0.00147905717877077
48,100,0.00140064975696086
48,100,0.0014720741860517
48,200,0.00028924928897515
48,200,0.000314684579798942
48,200,0.000323906016329343
48,200,0.000332012362661047
48,200,0.000287869826513363
48,200,0.000276404698850283
48,200,0.00215922183478154
48,200,0.00235127344496163
48,500,0.00418307447510872
48,500,0.00403336035523038
48,500,0.00420198224303086
48,500,0.00415354927865368
48,500,0.00419072767915846
48,500,0.00416470296150421
48,500,0.00414624219204785
48,500,0.00419090762815963
