t,input_il6,SOCS3RNA_Obs
260,0.1,1.24601597090345e-05
260,0.1,2.50303303192554e-05
260,0.5,-3.07361900847767e-06
260,0.5,2.4190334678229e-05
260,1,-4.53922207144643e-06
260,1,1.32930902279741e-06
260,2.5,-7.64405528137155e-06
260,2.5,-3.49590203580943e-06
260,5,2.12419482490699e-05
260,5,3.56255252850285e-05
260,10,9.11787865826348e-05
260,10,9.35462122977666e-05
260,25,0.000213379309936911
260,25,0.000224961039379773
260,50,0.000421446908547989
260,50,0.00042645088401391
260,100,0.000683960205657231
260,100,0.000685462709241443
260,500,0.00139463614843821
260,500,0.00141414414238598
