t,JAK1_gp130_Obs,pJAK1_gp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.506869738597497,0.00150652523032684,28.0474408111916,25.6537776667369,-0.00039788545490426,0.000337124162148605,3.18151792586967e-05,0.000199296786762329,-3.63393040971429e-05,0.00245502211378559
15,0.355408054840594,0.0206355052476574,21.5006564442456,50.1528915598739,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,0.0222168580319861,NaN,0.0208619762667011,0.0185087997415093,0.000860794486573246,0.122332306402143
25,NaN,0.0202176351942155,NaN,52.4884469356974,NaN,0.0236890628201772,NaN,NaN,NaN,NaN
30,NaN,NaN,19.3621002517443,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,0.332735718508579,NaN,NaN,NaN,NaN,NaN,0.0223379787030816,0.0222976288408182,NaN,NaN
40,NaN,0.0176242934319484,NaN,46.1226301500151,0.0192786118444851,NaN,NaN,NaN,0.00227502380532702,0.393536738469289
45,NaN,NaN,21.6460213775014,NaN,NaN,0.0192673988900405,NaN,NaN,NaN,NaN
55,0.267282095793375,0.016108849070099,NaN,NaN,NaN,NaN,0.0174252217906603,0.0163460038376229,NaN,NaN
60,NaN,NaN,22.0006055099877,46.5940580311471,0.0155953671690184,NaN,NaN,NaN,NaN,0.347384953223296
65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00181861441882182,NaN
70,NaN,NaN,NaN,NaN,NaN,0.0147537385761862,NaN,NaN,NaN,NaN
75,0.258447372598574,0.013564305816506,NaN,43.804684614926,NaN,NaN,0.0148144152635072,0.0136546781744963,NaN,NaN
80,NaN,NaN,24.8181493397519,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,0.012956705832035,NaN,NaN,NaN,NaN,0.275735076976686
90,NaN,0.0129229151154093,NaN,NaN,NaN,NaN,NaN,NaN,0.00147566487777298,NaN
95,NaN,NaN,NaN,44.7626518081836,NaN,NaN,NaN,NaN,NaN,NaN
100,0.232415299857097,0.0134911784181239,23.1900589269824,38.6282129245522,0.0141936403658289,0.0135928280527744,0.0138211031871053,0.0119892333995036,0.00144078759656971,0.26484970912931
150,0.202505546128448,0.011883418544584,25.1884345334367,38.7957919707547,0.0126847432228302,0.0110161980974381,0.0121185142265219,0.0118109197040961,0.00122046091327845,0.224912126732748
200,0.179417376471031,0.0107134789565405,25.9046257941903,38.8090494369701,0.00966422863773469,0.011250840587967,0.0101205109347531,0.0106709857988821,0.00116724892345085,0.218338819530312
250,0.176280046233294,0.0111610456967156,23.73278147614,38.1873863235719,0.0111800475175057,0.0111401268951465,0.010308730339768,0.0108471886884844,0.00107965222899699,0.182599544792654
300,0.180918939005304,NaN,NaN,36.9296100476625,0.010362325579075,0.0119563502229777,0.0102597773105577,0.0105625798991516,0.00109427614905033,0.198252967489098
