t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,28.9810370971445,27.6293659971541,0.000136789756483404,0.000135919153427825,0.00013414085074648,0.000135087096918985,0.00253276636158545
5,NaN,NaN,1.41164190969152e-05,NaN,NaN,0.000113422616683027,NaN
5.5,NaN,NaN,NaN,4.14487885203423e-05,NaN,NaN,0.00241103039111096
6,NaN,NaN,NaN,NaN,6.79419179638148e-05,NaN,NaN
10,NaN,NaN,1.31545837703559e-06,9.1668727337667e-06,2.4134553382962e-05,4.89200448883205e-05,0.00223886962332692
15,NaN,NaN,-6.08895248667679e-07,2.01725707876531e-06,NaN,1.45774922518186e-05,0.00156704408145799
20,17.6071143803413,NaN,NaN,NaN,1.01237362336428e-06,3.80053099095851e-06,NaN
25,NaN,59.1426748415798,-1.05085310388239e-06,-1.38717211765618e-07,6.84091457672369e-08,NaN,0.000464409130969665
30,NaN,NaN,-7.27379313496876e-07,1.29466246133345e-06,NaN,3.85957198056372e-07,0.000228842280656085
35,20.5733922432289,NaN,NaN,NaN,-7.77673406695488e-07,-6.28625239456215e-07,NaN
40,NaN,NaN,-1.51418318794096e-06,-7.2448981599097e-07,NaN,NaN,6.89058655354824e-06
45,NaN,54.709158854033,NaN,NaN,3.87022762357012e-08,-8.48356685585317e-07,2.93951205469341e-05
50,NaN,NaN,NaN,-2.22878316617607e-07,NaN,NaN,NaN
55,19.0381840089622,NaN,NaN,NaN,2.92221805253462e-07,1.66964397523824e-06,-2.39821288477791e-05
60,NaN,NaN,NaN,9.5982984283286e-07,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,-6.58744661816417e-07,8.47229160892053e-07,NaN
70,NaN,58.9029566867713,NaN,NaN,NaN,NaN,-9.3782482103477e-06
75,20.6125884450475,NaN,NaN,-9.62643257213997e-07,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,1.11618238017186e-07,NaN
85,NaN,NaN,NaN,NaN,-7.93281585880015e-07,NaN,-2.19248963462535e-05
100,22.4650060343067,47.9997393122804,NaN,NaN,NaN,NaN,NaN
150,22.6352070684993,44.6807067223495,NaN,NaN,NaN,NaN,NaN
200,23.4058864613439,43.2726980960683,NaN,NaN,NaN,NaN,NaN
250,24.0677799246909,40.1691919106992,NaN,NaN,NaN,NaN,NaN
300,26.4698522712139,35.0530625788219,NaN,NaN,NaN,NaN,NaN
350,26.2667203523489,32.2900055885156,NaN,NaN,NaN,NaN,NaN
400,27.3321215023261,NaN,NaN,NaN,NaN,NaN,NaN
450,NaN,29.5845225462862,NaN,NaN,NaN,NaN,NaN
