t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA4_Obs
0,29.1475694714633,26.7379694199823,0.000135952465124338,0.000133991824357126
4.5,NaN,NaN,5.65808092836518e-05,0.000114802428818605
9,NaN,NaN,1.34851490843292e-05,NaN
9.5,NaN,NaN,NaN,5.19312568261225e-05
15,NaN,NaN,2.78952483188736e-07,1.42861795129783e-05
20,18.0942900543727,58.6241462449235,-8.97007181249827e-07,1.48343066040892e-06
25,NaN,NaN,1.42968789027303e-07,1.32276011599096e-07
30,NaN,NaN,5.42989311331017e-08,NaN
35,NaN,NaN,NaN,-1.62694956665898e-06
40,19.9430910111528,55.5537680560869,-3.28827910366365e-07,-8.22183578086313e-07
50,NaN,NaN,4.46087835385482e-08,-1.08303848130294e-06
60,19.2409014433038,55.8259121257221,5.45027992181348e-08,5.62274584229566e-07
70,NaN,NaN,6.38733378850329e-07,NaN
75,NaN,NaN,NaN,8.94639205785865e-07
80,NaN,55.7255439883601,NaN,NaN
85,22.3482936445678,NaN,NaN,NaN
100,21.9751112593712,48.7136341915565,NaN,NaN
150,23.9399596911014,49.402112992629,NaN,NaN
200,23.6164459869804,39.2979802858384,NaN,NaN
250,24.3419135632153,38.9293241397086,NaN,NaN
300,24.8082731474674,38.2379797202646,NaN,NaN
350,26.7164491517458,37.187864832997,NaN,NaN
400,26.6808782113043,NaN,NaN,NaN
450,NaN,30.6682520632402,NaN,NaN
