t,pJAK1_gp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA4_Obs
0,0.000117670433301727,30.2240334054119,26.5995718965452,0.000163520970236128,0.000403687845914367
8,NaN,NaN,41.5541197849133,NaN,NaN
9,NaN,25.1159990370808,NaN,NaN,NaN
10,0.0211562115807532,NaN,NaN,NaN,NaN
15,NaN,NaN,48.5127180298529,0.0184441559862112,0.0112913282863712
20,0.0202038909172252,23.141091924656,NaN,NaN,NaN
25,NaN,NaN,44.7314018034243,NaN,0.0217685249330148
30,NaN,27.2240795066214,NaN,0.0144852957731815,NaN
35,4.39295437772886e-05,NaN,30.4682340277096,NaN,NaN
40,NaN,26.6431011079027,NaN,NaN,0.00716096770386781
45,NaN,NaN,26.2488911123778,0.00141001189849283,NaN
50,0.000397067015761923,27.4144301296038,NaN,NaN,NaN
60,NaN,NaN,28.0605641459814,NaN,0.000207500916265921
65,0.000246328189957751,27.6657320097141,NaN,-0.000335669972378021,NaN
70,NaN,NaN,27.7594672851494,NaN,NaN
80,NaN,NaN,NaN,NaN,0.000491823789776043
85,0.000528402551255372,29.575365648599,NaN,-5.36350994833923e-06,NaN
90,NaN,NaN,27.4354530922515,NaN,NaN
100,0.000217077980701915,30.0090230095188,25.7690036617227,-2.60287181960304e-05,0.000107218628435373
150,0.000174787054204997,28.4358581915461,NaN,0.000518956312509873,-0.000289690002711781
