t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,29.9696915518519,26.5954488538105,2.14099151358986e-05,8.5519885325899e-05,-6.00390246589997e-06,0.000377167949980348,0.0029771845393221
15,NaN,30.5794309725067,NaN,NaN,NaN,NaN,NaN
20,27.2494606692849,NaN,NaN,NaN,0.00223182336831159,0.00205732260617254,0.0128088562025328
25,NaN,NaN,0.00298383917509286,0.00306850133457055,NaN,NaN,NaN
35,NaN,32.8450870367617,NaN,NaN,NaN,NaN,NaN
40,27.5246907016761,NaN,NaN,NaN,NaN,NaN,0.0458290183139996
45,NaN,NaN,NaN,NaN,0.00290767514154269,0.00301033042206272,NaN
50,NaN,32.4581910781582,0.00293004436141867,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,0.002940091476717,NaN,NaN,NaN
60,27.2930148162452,NaN,NaN,NaN,NaN,NaN,0.0545890659356108
65,NaN,NaN,NaN,NaN,0.00291751575256144,0.00310370228442984,NaN
70,NaN,31.3114790196909,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,0.00283371371791118,NaN,NaN,NaN,NaN
85,29.1935688071807,NaN,NaN,0.00278366862147161,NaN,NaN,0.0524072844671178
90,NaN,NaN,NaN,NaN,0.00302879176595187,0.00299619110276537,NaN
95,NaN,31.7994814111757,NaN,NaN,NaN,NaN,NaN
100,26.6050033368357,29.6339667935219,0.00284545962869234,0.00248914506982307,0.00276908208410028,0.00306599034966445,0.0518558851167377
150,27.5766889978604,32.0245375567228,0.00263613950965858,0.00275742723998394,0.00245235895966387,0.00253247368817467,0.0496834009287594
200,26.5115611974173,31.3150132801631,0.00266039615920403,0.00245853051278834,0.00246431160412316,0.00245882416581045,0.0461899435722939
250,26.3951481455478,32.5993426987112,0.00259391337989853,0.00258067818053006,0.00268949510166245,0.002611655220484,0.0460214329728833
300,28.562002159888,NaN,0.00246252704115259,0.00245480772179115,0.00250851860300838,0.00255796394545449,0.0420329999941674
350,25.3817507324129,30.5057784033544,NaN,0.00237184767545821,0.00229353757419482,NaN,0.045733107196353
400,NaN,NaN,0.00256810681600227,NaN,NaN,0.00266831565882985,NaN
450,NaN,NaN,NaN,0.00244502416265448,NaN,NaN,NaN
