t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA4_Obs
0,27.2451363270145,27.2860275660796,8.91023720054629e-05,0.000246041235047859
9.5,25.5540810185147,NaN,NaN,NaN
10,NaN,37.4756605718017,NaN,NaN
15,NaN,NaN,0.00923718436149214,0.00523593308297493
20,21.9180290201858,43.9837819529968,NaN,NaN
30,26.5809931455021,NaN,0.00840426907369863,0.0110931927471108
35,NaN,28.2887634484115,NaN,NaN
40,28.8957653012362,NaN,NaN,NaN
45,NaN,25.9842490648563,0.000897404405331669,0.00212629013077605
55,30.6933534906218,NaN,NaN,NaN
60,NaN,27.2680605179978,0.000240101296041251,0.000144460613371171
70,29.0746966881313,NaN,NaN,NaN
80,NaN,27.0189184859298,0.000117261645869133,0.000382705379662979
90,29.1037328989285,NaN,NaN,NaN
100,28.8858414166805,27.8932080011546,0.000265990302745848,1.50368373838953e-05
150,NaN,28.5790930267572,0.000201177092524624,0.000253090980948008
