t,pJAK1_gp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,-0.00115834749932443,29.3452424738097,25.4674866487595,0.00023665744585354,0.000222633932300458,-0.000375206350699467,0.00137328077656994,0.00633882945889878
15,0.0317263546660297,18.164558505692,NaN,NaN,NaN,0.0265894119253627,NaN,0.043485895779588
20,NaN,NaN,55.424805216388,0.0370809456564473,0.0357800570999844,NaN,0.0298161701725189,NaN
25,0.0304623114619463,NaN,NaN,NaN,NaN,NaN,NaN,0.375808320487046
35,NaN,21.5878938061657,NaN,NaN,NaN,0.0295898149154459,NaN,NaN
40,0.0251809257795198,NaN,52.4545887558956,0.0253034518283802,0.0252391767903641,NaN,0.0287230612638201,0.580108829805058
50,NaN,NaN,NaN,NaN,NaN,0.0233199514352628,NaN,NaN
55,0.0192399968732239,23.5581018667965,NaN,NaN,NaN,NaN,NaN,0.481400692596585
60,NaN,NaN,NaN,NaN,0.0197469327742903,NaN,NaN,NaN
65,NaN,NaN,48.7218853721843,0.0193334807684201,NaN,NaN,0.0193328077313133,NaN
70,NaN,NaN,NaN,NaN,NaN,0.0189421920454519,NaN,NaN
75,0.0179164362068695,22.4779132320091,NaN,NaN,NaN,NaN,NaN,0.360404473096957
85,NaN,NaN,NaN,0.0183838816950611,0.0170220633444664,NaN,0.0186420814469816,NaN
90,0.0192654178418812,NaN,45.1923340348967,NaN,NaN,0.0173394149406874,NaN,NaN
95,NaN,23.6243986689023,NaN,NaN,NaN,NaN,NaN,0.339923967870261
100,0.0165864002084424,22.7400558291506,47.017504452579,0.018180063354432,0.0163903454982128,0.0182709205712451,0.0167098911589629,0.35045644562738
150,0.0138890156546671,22.2638541635537,44.7738366394289,0.0152828459086406,0.0148893808770741,0.0145305814109745,0.0151633694790151,0.317048212894164
200,0.0133331309083149,24.6515195756944,40.896653014231,0.0147858538373865,0.0145983900695415,0.0150409578584365,0.0156906580889364,0.257523497836679
250,NaN,22.4414530655593,40.7815372016672,0.0140882723605306,0.0141034493920257,0.0138359207950203,0.0139745459780013,NaN
300,NaN,23.3696518151358,43.0589366268306,0.0144341523147792,0.0152388675015739,0.0146661394611204,0.0148346294215961,NaN
350,NaN,23.0644368110181,43.2211025492789,NaN,NaN,NaN,NaN,NaN
