t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA4_Obs
0,28.9031447125677,23.9045837370904,7.22229383201496e-05,0.000216027422649305
9,17.9356833262861,53.6454692537575,NaN,NaN
10,NaN,NaN,0.0185652173387624,NaN
15,NaN,NaN,NaN,0.0203040538871174
20,18.7375402213347,58.7318787352997,NaN,NaN
25,NaN,NaN,0.0352483176820624,NaN
30,21.346664054176,47.063354196285,NaN,0.0337322638463621
40,25.3994063893926,31.6936551158996,0.00823179109229865,NaN
45,NaN,NaN,NaN,0.00832305647859816
55,30.32415004366,29.2943384554403,0.00012349751964626,NaN
65,26.4194891562162,NaN,NaN,0.000372199311725068
70,NaN,28.6499450795937,NaN,NaN
75,NaN,NaN,0.000109574803381459,NaN
85,28.7833694106747,26.7911577610099,NaN,NaN
90,NaN,NaN,NaN,0.000240135158271263
95,NaN,NaN,0.000603099421285041,NaN
100,29.1576624862361,26.8895509974039,-0.000147426549662171,0.00030607614583276
150,29.682103007993,NaN,-0.000575372121989755,-9.79475758130412e-05
