t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA4_Obs
0,31.2653623814756,27.0719156329187,0.000143646888695563,0.000131834887408999
8.5,NaN,43.5133831998441,NaN,NaN
10,21.6438738583546,NaN,NaN,0.00330495188233392
15,NaN,51.479917059558,0.0182113778308562,NaN
25,20.95811859446,49.5318404117317,0.0234310954908146,0.0219746378374174
40,26.6834511393036,33.5835356104047,0.00565354037778234,0.011858581633838
50,NaN,24.8070976434869,NaN,NaN
55,28.3430942540301,NaN,NaN,0.000927676463363685
60,NaN,NaN,0.000142301668240002,NaN
65,NaN,26.7712814930705,NaN,NaN
70,NaN,NaN,NaN,9.36539219689955e-05
75,28.0757003738648,NaN,NaN,NaN
80,NaN,NaN,-6.304530175157e-05,NaN
85,NaN,25.1100529927999,NaN,NaN
95,30.4737914308171,NaN,NaN,0.000251688971199174
100,29.2670924134963,24.8397320095669,2.11722601351161e-05,-0.000171436166231112
150,28.474044295099,NaN,0.000550964305765635,0.000268077991668414
