t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA4_Obs
0,27.7570223157167,25.9075396574811,0.000503215913093749,-0.000342943286452616
8,NaN,52.4394633776232,NaN,NaN
8.5,19.0878227995115,NaN,NaN,NaN
10,NaN,NaN,0.0189455285051557,NaN
15,19.0318432819507,61.7454073997626,NaN,0.0204624997120029
25,22.9402190610342,50.5558409406787,0.0329516769226391,NaN
30,NaN,NaN,NaN,0.0301343803747557
35,25.8407001547658,34.9615153800012,0.00992661882385359,NaN
45,29.0300975757278,27.2451086366078,NaN,0.00474148374079239
50,NaN,NaN,0.000356988598438368,NaN
60,27.2500299543214,24.4539011874662,NaN,NaN
65,NaN,NaN,-0.000147602482114761,0.000348421088213361
75,29.8514779018797,26.1651288915776,NaN,NaN
85,NaN,NaN,0.000350473529655285,NaN
90,29.2158536989032,NaN,NaN,-0.000169662176112474
95,NaN,24.3350113021495,NaN,NaN
100,28.5041789342251,24.5665262287954,-0.000210738024230128,-0.000155452593670469
150,NaN,NaN,0.000170605882542746,-7.34272725352853e-05
