t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA4_Obs
0,32.409704855268,26.4087962935175,0.000109434575961907,0.000397589027933281
10,22.475125701598,46.3572952150058,NaN,NaN
15,NaN,NaN,0.0181806709356025,0.0108532047651928
20,NaN,38.9752570169062,NaN,NaN
25,26.6476838659796,NaN,0.00982344390778253,0.0149208779725224
30,NaN,28.6859658267341,NaN,NaN
35,29.5707337399387,NaN,NaN,NaN
40,NaN,NaN,0.000800194531521425,0.00174898183431423
45,NaN,23.9587442960836,NaN,NaN
50,28.8691733542755,NaN,NaN,NaN
55,NaN,NaN,0.000156715592823904,0.000359529124974947
60,NaN,22.4512933964669,NaN,NaN
70,30.1280133324712,NaN,NaN,NaN
75,NaN,29.1250337798693,-9.44755293944944e-05,0.000389628526128814
85,28.7314651790697,NaN,NaN,NaN
95,NaN,NaN,0.000263798217174267,0.000173545657449023
100,29.3605769126797,26.4757537197761,0.000131440104368728,0.000162571774305207
150,27.5987022472328,NaN,0.00012711756457726,5.67106592815059e-05
