t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA4_Obs
0,29.4229942933773,24.2696250474234,-0.000486579697243099,-0.000152766342374944
10,22.8696143911466,44.1232693304056,NaN,0.00214923255438869
15,NaN,NaN,0.0142815547032108,NaN
20,NaN,49.0042405543138,NaN,NaN
25,23.9188754255027,NaN,NaN,0.0167917680723
30,NaN,NaN,0.018298159387381,NaN
35,21.8956769271122,41.3459910020351,NaN,NaN
40,NaN,NaN,NaN,0.0172217107343083
45,NaN,NaN,0.0149205450952427,NaN
50,26.3985505050617,31.9408558702887,NaN,NaN
55,NaN,NaN,NaN,0.00909699820683175
65,26.4352622149681,23.1885705658906,0.000839250409298907,NaN
70,NaN,NaN,NaN,0.00112525781264342
80,27.7015306460327,NaN,NaN,NaN
85,NaN,26.3006138292033,1.98360304484242e-05,NaN
90,NaN,NaN,NaN,0.000611186588693734
100,28.8686323662683,27.3920277204981,0.000274902843722436,-0.00030048111039668
150,30.3056017845622,27.6848885013788,-0.0002244669089386,9.32829142571081e-05
