t,Rec_Obs,pS3_Obs,geneB_Obs,geneH_Obs,geneK_Obs,geneL_Obs
0,0.990025147943855,0,0.991617334433008,1.07420861399046,1.22300337983054,1.05229604375575
55,NaN,NaN,NaN,0.714397192574911,NaN,NaN
60,NaN,1.82540914654768,2.86378580624716,NaN,NaN,NaN
65,0.811595863751377,NaN,NaN,NaN,0.750233733082659,NaN
70,NaN,NaN,NaN,NaN,NaN,0.610861137780282
100,NaN,1.69475300306826,3.91464405850926,0.663342832436813,NaN,NaN
150,0.80806995914077,NaN,NaN,0.687458984695852,0.537352506457885,0.329192698508514
200,0.641682322456634,1.18321456014959,4.49847215402872,0.747282420527232,0.417193949140391,0.278469095470133
250,NaN,0.970261781949632,4.18996579425012,NaN,0.372724320111048,NaN
300,0.554289869314393,0.857032523810592,NaN,0.629200110975834,NaN,0.333317972220216
350,0.48109762717839,NaN,4.88224386792412,0.63972188364514,0.304709367763,NaN
400,NaN,0.721306210229181,5.20758365298793,NaN,NaN,0.406114014457886
450,0.430547176262454,NaN,NaN,0.74153803420076,0.246188088688751,NaN
500,NaN,0.549496037412118,4.54579483610486,0.802008335728633,NaN,0.455827966587256
550,0.401827615124052,NaN,NaN,NaN,0.249692253240319,NaN
600,NaN,0.338969338486277,4.41632382549558,0.607866939671435,NaN,0.521563496064002
700,0.33349922966855,NaN,NaN,NaN,0.235571132229071,0.577500277839025
750,NaN,0.271052203460989,4.59359357705248,0.804605185925174,NaN,NaN
800,NaN,NaN,NaN,NaN,0.253117099413858,NaN
850,0.289759093689272,NaN,4.17056269189689,0.725991107034288,NaN,0.526962756734612
900,NaN,0.215031118768412,NaN,NaN,NaN,NaN
1000,0.256574826200542,0.194243836524262,3.97791144866281,0.718816367255292,0.280447386736295,0.571586926571276
1500,0.217323199648307,NaN,3.4788202770553,0.74219049189442,0.440794517474316,0.817886042585679
