t,Rec_Obs,S4_S4_S4_Obs,pS3_Obs,ppS3_ppS3_S4_Obs,geneK_Obs,geneL_Obs
0,1.10606345915612,1.04224346141959e-17,0,1.01899240306581e-17,0.972004492296518,0.916692865976743
10,1.15187218462688,9.10811756322497e-18,NaN,9.448200521751e-18,0.890868145443221,1.0489225667222
15,NaN,NaN,0,NaN,NaN,NaN
25,1.15412861888779,9.6159519951545e-18,0,8.81429080787772e-18,0.954308641140248,1.04543201266309
35,1.13952765675123,NaN,NaN,NaN,1.08143466277474,0.993791564679223
40,NaN,1.05731068025253e-17,0,9.06367582005515e-18,NaN,NaN
50,1.09788000978733,NaN,NaN,NaN,NaN,0.904281996330978
55,NaN,1.04754985720436e-17,NaN,9.59215111600087e-18,1.14959305374333,NaN
60,NaN,NaN,0,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,1.07915813581064
70,1.0783906140438,9.74870654309234e-18,NaN,1.02720660489373e-17,1.05648920880894,NaN
75,NaN,NaN,0,NaN,NaN,NaN
85,1.33594261232971,NaN,NaN,NaN,NaN,1.0529347031584
90,NaN,9.79437879564629e-18,NaN,1.02275780782722e-17,1.22302308331852,NaN
100,NaN,NaN,0,NaN,NaN,NaN
