t,Rec_Obs,pS3_Obs,geneB_Obs,geneH_Obs,geneK_Obs,geneL_Obs
0,1.01998601726293,0,1.02735276463796,0.935832264237008,0.932188239340647,1.00386539059001
55,NaN,1.58306679771473,NaN,NaN,0.737469444972771,NaN
65,0.895669856683387,NaN,3.15589977817611,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,0.494094121234429
80,NaN,NaN,NaN,0.656121605176005,NaN,NaN
100,NaN,1.7316771744131,NaN,NaN,0.591289728610739,NaN
150,0.737999077054574,1.43271243087718,3.46451027219825,0.641697470086208,NaN,0.357080203116132
200,0.757401381174295,NaN,4.05947088374509,NaN,0.413991277839754,0.284456417904169
250,NaN,1.05692191472169,NaN,0.694298239527147,0.279243265075232,NaN
300,0.485886053973534,0.796250341897132,4.31374353707834,NaN,0.298940646102057,0.319533526363668
350,0.577574943275866,NaN,4.78548917882981,0.685711494535701,NaN,NaN
400,NaN,0.656601914374216,NaN,NaN,0.217556631384748,0.360577613831652
450,0.440820593101715,0.536118316244355,4.28441540794609,0.73531469863737,NaN,NaN
500,NaN,NaN,NaN,NaN,0.212250318577701,0.409530921717422
550,0.40788166549218,0.428447888310546,3.97204203883303,NaN,NaN,NaN
600,NaN,NaN,NaN,0.809843447094364,0.210058955217823,0.498806776111069
650,NaN,0.383511213588978,NaN,NaN,NaN,NaN
700,0.400702578201453,NaN,3.54973464844145,NaN,0.200722358054152,0.492314376322527
750,NaN,NaN,NaN,0.747508864578729,NaN,NaN
800,NaN,0.288579942525893,4.12124527381428,NaN,NaN,NaN
850,0.306272368479755,NaN,NaN,NaN,0.209288730559628,0.606099629101282
950,NaN,0.198300017123122,NaN,0.896480317419439,NaN,NaN
1000,0.231892233199117,0.176295750291099,3.3145266617711,0.808811360644991,0.286913262672404,0.645570676473832
1500,0.212717659249078,0.103729952344725,3.13924196909793,1.13419031725187,0.376971134513527,0.862641773590802
