t,Rec_Obs,S4_S4_S4_Obs,pS3_Obs,ppS3_ppS3_S4_Obs,geneK_Obs,geneL_Obs
0,1.09157976090771,1.07416761268311e-17,0,9.26270632409619e-18,0.97662263749263,0.925072575805898
10,1.01419649230403,9.85544748328241e-18,NaN,8.73505333640112e-18,0.963872424567404,1.0218854659398
15,NaN,NaN,0,NaN,NaN,NaN
20,NaN,9.32320839752588e-18,NaN,NaN,1.04839936711312,NaN
25,1.03503098332001,NaN,NaN,9.8058883887016e-18,NaN,1.00169262121313
30,NaN,NaN,0,NaN,NaN,NaN
35,1.17120170410617,1.06280390524383e-17,NaN,NaN,0.909141497763168,1.03293896300482
40,NaN,NaN,NaN,9.19582155758113e-18,NaN,NaN
45,NaN,9.34178281658214e-18,0,NaN,1.01927420013623,NaN
50,1.12735609435728,NaN,NaN,NaN,NaN,1.094495529141
55,NaN,NaN,NaN,9.49573331282432e-18,NaN,NaN
60,NaN,1.00668231354416e-17,0,NaN,NaN,NaN
65,1.10054672174297,NaN,NaN,NaN,1.07225747295754,1.00791787143081
75,NaN,NaN,NaN,1.0239437103164e-17,NaN,NaN
80,NaN,1.09132297033023e-17,0,NaN,0.93464680405627,NaN
85,1.09308200024978,NaN,NaN,NaN,NaN,0.986318952597367
95,NaN,NaN,NaN,1.07998584080646e-17,NaN,NaN
100,NaN,NaN,0,NaN,NaN,NaN
