t,Rec_Obs,S4_S4_S4_Obs,pS3_Obs,ppS3_ppS3_S4_Obs,geneK_Obs,geneL_Obs
0,0.986356157259578,9.62395675330059e-18,0,1.04211451848424e-17,1.12631812966825,0.990141270548694
10,1.23249261460513,NaN,NaN,1.0132829346455e-17,NaN,1.04346068797958
15,NaN,1.03791970344931e-17,0,NaN,1.03173070689715,NaN
20,1.07638240340824,NaN,NaN,1.05962538956592e-17,NaN,0.950192420728337
25,NaN,9.21728298770305e-18,NaN,NaN,NaN,NaN
30,1.0425124359225,NaN,0,NaN,0.989257135935375,NaN
35,NaN,NaN,NaN,1.04108812194116e-17,NaN,0.974955341296572
40,NaN,1.09371519865227e-17,NaN,NaN,NaN,NaN
45,0.938929419612902,NaN,NaN,NaN,0.978686916570604,1.03807752891784
50,NaN,NaN,0,1.04548058246816e-17,NaN,NaN
60,1.17559725622103,1.05354256694261e-17,NaN,NaN,0.98587337917245,NaN
65,NaN,NaN,NaN,1.09429335519702e-17,NaN,0.929545153947294
70,NaN,NaN,0,NaN,NaN,NaN
75,1.02091977111499,9.82306204824408e-18,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,0.782213162047193,0.860616657699873
85,NaN,NaN,NaN,1.04854454860856e-17,NaN,NaN
90,NaN,NaN,0,NaN,NaN,NaN
100,NaN,9.72919305782639e-18,NaN,NaN,0.89848702466682,NaN
