t,Rec_Obs,pS3_Obs,geneB_Obs,geneH_Obs,geneK_Obs,geneL_Obs
0,1.20135944601412,0,1.00097553429956,0.935349912959267,1.00842812602259,1.05371893696982
55,NaN,NaN,NaN,0.922228988593272,NaN,NaN
60,NaN,NaN,3.12766609152463,NaN,NaN,NaN
65,NaN,1.52775789482076,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,0.830344853879518,NaN
75,0.771969126378971,NaN,NaN,NaN,NaN,0.505647060798781
100,NaN,NaN,4.34072856249345,0.88794385047178,NaN,NaN
150,0.69671753863625,1.36440818957619,NaN,0.779703757716656,0.543501232800052,0.360804996466794
200,NaN,1.1629661139529,4.87683124252383,NaN,0.427186270831094,NaN
250,0.604725751938721,0.922510614943867,5.63784242427327,0.792062816025676,NaN,0.387985482989679
300,0.508667474144503,NaN,NaN,0.81139837815645,0.344923335188245,0.398913669193036
350,NaN,0.736645488437924,4.95350765342258,NaN,NaN,NaN
400,0.552043095366623,NaN,5.93770704467945,0.678330113555861,0.308668247116152,0.46494468644493
450,NaN,0.62930355440571,NaN,NaN,NaN,NaN
500,NaN,NaN,5.46462174259843,0.721245993216181,0.308635210626155,NaN
550,0.366270271170069,0.396692792534268,NaN,NaN,NaN,0.504054741869031
600,NaN,NaN,4.58994988634652,0.545728045890108,NaN,NaN
650,0.378699235128814,NaN,NaN,NaN,0.306005167923182,0.48534402628638
700,NaN,0.297586049072998,NaN,0.752092450774544,NaN,NaN
750,NaN,NaN,4.2761952419043,NaN,NaN,NaN
800,0.314543563413283,NaN,NaN,NaN,0.336862703116086,0.653673033560663
850,NaN,0.253308046367119,4.02439398334222,0.764632556074086,NaN,NaN
950,NaN,NaN,NaN,NaN,0.382495603982938,NaN
1000,0.282188346576694,0.17723142140984,4.40615884694053,0.721762217059021,0.409144021453484,0.849181331586224
1500,0.196495230941907,NaN,2.77972300631575,NaN,0.549727048608095,0.857529346242864
