t,Rec_Obs,pS3_Obs,geneB_Obs,geneH_Obs,geneK_Obs,geneL_Obs
0,1.01529948672137,0,1.12844143995097,1.06090998085237,1.00238994703901,1.0553587173516
55,NaN,26.9039185279397,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,3.59416343285354,0.717955933580965,0.570833784962407
65,NaN,NaN,5.94367997663777,NaN,NaN,NaN
70,0.919281833848137,NaN,NaN,NaN,NaN,NaN
100,NaN,28.5546642485175,NaN,3.63755664810444,0.556082913671328,NaN
150,0.725903359558829,22.2383255290793,9.42649551866514,NaN,NaN,0.212002803969048
200,0.566663712056106,NaN,10.9910815415383,3.93231399083498,0.263908763311594,0.149681353974044
250,NaN,17.0031804622876,NaN,3.38048162756381,0.257065490009962,0.135663384260537
300,0.541760297734396,13.5647059993871,11.6691268437441,3.24350917655177,NaN,NaN
350,NaN,NaN,11.807847286358,NaN,0.155352863112529,0.133103955674426
400,0.532878164953998,9.38831624488492,NaN,3.06351227657719,NaN,0.171230060208426
450,NaN,7.80611189008362,12.1281400890016,3.50563853070367,0.100919756134721,NaN
500,0.431818327849533,NaN,NaN,NaN,NaN,0.185262958944562
550,NaN,NaN,10.5854933862747,3.42872716914408,0.0924092776947477,NaN
600,NaN,5.84420245032703,NaN,NaN,NaN,0.225947275885737
650,0.352393760688708,NaN,NaN,3.01561784077641,0.0849025464029521,NaN
700,NaN,4.36459898520375,9.86698572577301,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,NaN,0.307170639024665
800,0.266206729198698,NaN,9.43646684613816,3.0852874534266,0.079239366354301,NaN
850,NaN,3.67698190286103,NaN,NaN,NaN,0.34208383148206
900,NaN,NaN,NaN,2.97304907099749,NaN,NaN
950,0.281420722655219,NaN,NaN,NaN,NaN,NaN
1000,0.289707152300044,2.83656127700179,9.59282891750546,2.71089180093971,0.125000771395124,0.404673289562018
1500,0.225799536389139,NaN,6.45374716966389,2.15842393635403,0.212278652456979,0.564796813460645
