t,Rec_Obs,S4_S4_S4_Obs,pS3_Obs,ppS3_ppS3_S4_Obs,geneK_Obs,geneL_Obs
0,1.10748812607434,9.51432133829383e-18,0,1.03097053538972e-17,1.08675624508324,1.0474511274732
9.5,NaN,NaN,0,NaN,NaN,NaN
10,0.9504516471578,1.06963770172897e-17,NaN,9.71296001645644e-18,1.10849518237941,0.909543937725788
20,NaN,9.57621729418376e-18,0,NaN,NaN,NaN
25,1.15979535089753,NaN,NaN,1.03619200609106e-17,1.04640198908409,1.03252564576741
30,NaN,9.85617751826762e-18,0,NaN,NaN,NaN
35,1.06876218835144,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,9.65101062942968e-18,1.09275956690289,1.06614577702191
45,NaN,1.01327783483208e-17,0,NaN,NaN,NaN
50,1.17862603323892,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,0,9.78359725384345e-18,1.13306604972961,0.940549499400581
60,NaN,1.00320151290646e-17,NaN,NaN,NaN,NaN
70,1.19604944137866,NaN,0,NaN,0.923165112232658,1.08262091581356
75,NaN,1.14424998516322e-17,NaN,8.9112379825343e-18,NaN,NaN
90,1.26993111810486,NaN,NaN,NaN,NaN,1.13793517221357
95,NaN,NaN,NaN,1.0631587712058e-17,1.12530782707212,NaN
