t,STAT5B_Obs,pApB_Obs,pBpB_Obs,nucpApA_Obs,nucpApB_Obs,nucpBpB_Obs
0,61.211376588017,-1.7365052051813,3.85144156585902e-08,31.5817521956742,-4.54933374540729,0.160864377959662
9.5,NaN,NaN,2.44415984406511e-06,NaN,NaN,NaN
15,11.8918016271557,23.7525888894887,NaN,NaN,NaN,44.4168953661091
20,NaN,NaN,6.24661844048568e-07,172.254549753184,16.4678729203283,NaN
30,7.64722099173005,23.0074977633632,4.97926288312687e-07,NaN,NaN,50.1666788490188
35,NaN,NaN,NaN,153.287003234692,NaN,NaN
40,12.3049827993782,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,1.96393860502991e-07,NaN,34.7730281522278,NaN
50,NaN,17.511632400585,NaN,NaN,NaN,33.9704642611498
55,4.88506185122781,NaN,NaN,138.13777859242,NaN,NaN
60,NaN,NaN,1.08433421763092e-07,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,41.4698119458379
70,NaN,14.0152522308114,NaN,NaN,50.5384646987357,NaN
75,7.33085166624797,NaN,-6.6561406641261e-08,135.76268895744,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,36.314424504869
90,6.14688603696861,12.3178510919832,NaN,NaN,NaN,NaN
95,NaN,NaN,7.48824477866736e-08,137.245487114201,53.0741574894432,NaN
100,14.5703061240832,12.2558945221444,NaN,134.990641298237,81.2381955516022,28.9048105568581
150,13.6465760265302,6.86176204872056,NaN,97.977882076308,85.31510032096,24.5272744024676
200,16.9977286739176,4.90182591467077,NaN,75.7035676297037,79.3589500999149,27.3109208736314
250,22.1484669229225,2.96015631620671,NaN,58.4515392491808,83.5569622697482,12.3515814802758
300,23.5630386049999,2.31937045671832,NaN,65.8176233355323,95.0512530413373,17.0636797339105
350,25.1223441940485,NaN,NaN,78.2755182774837,87.7613320826965,13.4891013941191
400,29.1340039215772,NaN,NaN,28.783663125332,88.1883779090901,NaN
500,NaN,NaN,NaN,NaN,100.795182898055,NaN
