t,Naive_Obs,EarlyEffector_Obs,LateEffector_Obs,Memory_Obs,Pathogen_Obs
0,8241.19268684637,-176.751484172799,302.384829425411,80.723027014108,1.05585449004083
2.5,712.183659617158,-61.4382211951834,NaN,NaN,NaN
3,NaN,NaN,NaN,NaN,1.64065911217256
3.5,NaN,NaN,605.192552779438,720.422674232775,NaN
4.5,234.819843524243,NaN,NaN,NaN,NaN
5.5,NaN,7435.85894515151,NaN,NaN,2.56257288991659
7,NaN,NaN,8879.38878718767,NaN,NaN
7.5,-8.32738876457061,NaN,NaN,554.260385786409,NaN
8.5,NaN,21173.2677859552,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,0.738269290257143
10,-110.224434378223,9792.0081306095,17449.940037216,2317.34332090624,0.364739860157596
15,6.27979355470755,1395.85933810224,11585.0510225159,6037.60889216153,0.0335820092532339
20,-111.859392688018,828.887654854734,7118.98376687869,7758.31650865671,-0.0122104447651694
25,NaN,NaN,4398.16805004498,8613.47745657656,0.0507274622419887
30,NaN,NaN,3265.66243880318,9247.51193571574,NaN
35,NaN,NaN,NaN,NaN,-0.00488628978197719
40,NaN,NaN,2849.85113904698,10435.32919161,NaN
45,NaN,NaN,1644.00690755961,11828.2931786242,NaN
55,NaN,NaN,1256.0146843222,11402.7821132669,NaN
70,NaN,NaN,567.232689657825,12106.5805829735,NaN
