t,EpoR_Obs,dEpo_i_Obs
0,533.119691539844,1.39535812032483
30,351.744778608657,NaN
35,NaN,12.1102735766717
65,277.062547404355,15.6685171612734
95,351.119148079461,NaN
100,NaN,52.1044711890486
150,249.456407493606,82.5435414786484
200,678.270227429033,142.877919223874
250,428.083095537439,223.006108446577
300,420.057024090954,143.759889567441
350,681.013039466088,195.654734293978
400,NaN,74.3160569212409
450,447.820849440133,NaN
500,1220.07206801141,171.279384663427
600,443.152563044685,283.870569934794
750,685.36907416844,305.372573088754
