t,pApoER2_re_Dab1_Obs,ApoER2_re_Dab1SFK_Obs,ApoER2_Dab1_released_Obs
0,-1.04842994031436e-05,-8.54164942014997e-06,0.0841469375622184
15,NaN,NaN,0.468418151380801
20,NaN,0.000538265253181347,NaN
25,0.000588410994337855,NaN,NaN
35,NaN,NaN,0.359489688274911
40,NaN,0.000418661374429673,NaN
55,0.000378876522305669,NaN,0.310064673444024
65,NaN,0.000455655076068961,NaN
70,NaN,NaN,0.217325759259708
80,0.000328699857896186,NaN,NaN
90,NaN,0.000294487071308114,NaN
95,NaN,NaN,0.14418557669238
100,0.00025213206000704,0.000194362364863263,0.22749644518867
150,0.000103532337607552,0.00015677763027901,0.162645052688694
200,2.84367193749345e-05,8.3999964821968e-05,0.138656158771045
250,-4.97208351004569e-06,8.9377807485852e-05,0.0746973653242818
300,NaN,NaN,0.0758024291185455
350,-3.08474460820222e-06,7.86477737384515e-05,-0.0143129602908061
400,-3.2641942983942e-05,NaN,NaN
450,-4.09360023123422e-05,NaN,NaN
