t,pApoER2_re_Dab1_Obs,ApoER2_re_Dab1SFK_Obs,ApoER2_Dab1_released_Obs
0,-0.000206581491269628,-1.1595006943768e-05,0.181606339964381
15,0.00483009956717914,NaN,0.723057689067048
20,NaN,0.00117823277652205,NaN
25,0.00356397110960223,NaN,NaN
35,NaN,NaN,0.677938359240732
40,0.00161515801983332,0.000708667385256445,NaN
50,NaN,NaN,0.607326632651255
55,0.000323569426567931,NaN,NaN
60,NaN,0.000543324633646711,NaN
70,NaN,NaN,0.348243385441097
75,0.000427706211867185,NaN,NaN
80,NaN,0.000489207556577414,NaN
90,0.000229888292021523,NaN,0.254600606153678
100,0.000243545459133123,0.000292225576565131,0.209101416914011
150,-0.000109135718243244,0.00030424120269624,0.102671189578229
200,-0.000119746565168173,0.000236072238242759,-0.0123175700954476
250,-0.000270603156227094,2.70158653523176e-05,0.103538870462625
300,NaN,0.000151683299706373,0.0956183926559661
