t,ApoER2_Dab1_released_Obs,ApoER2_Dab1SFK_Obs,ApoER2_Dab1_Obs
0,-2.96605951229117e-07,2.10408687986914e-10,0.744024368767291
3,1.23007010281535e-07,NaN,NaN
6.5,1.12582258323214e-07,NaN,NaN
8,NaN,1.6042028240417e-10,NaN
10,1.69949087167426e-07,NaN,NaN
15,8.46090017373793e-08,2.31621207542903e-10,NaN
20,1.7915161189947e-07,NaN,NaN
25,1.47842196910716e-07,1.98465671849241e-10,NaN
30,1.2822028852641e-07,NaN,0.494461739421334
35,1.39034062473969e-07,1.40325547583314e-10,NaN
50,NaN,2.45371760318681e-10,NaN
55,NaN,NaN,1.25787696774208
60,NaN,2.73890452473171e-10,NaN
80,NaN,2.79603091755027e-10,NaN
90,NaN,NaN,1.6669504309373
100,NaN,2.58862012496094e-10,1.70581209767609
150,NaN,NaN,1.43443688459411
200,NaN,NaN,1.30349208461232
250,NaN,NaN,0.738885890605782
350,NaN,NaN,1.96931267974396
400,NaN,NaN,1.61918169778027
550,NaN,NaN,2.33465329598477
