t,Reelin_input,pApoER2_re_Dab1_Obs,ApoER2_re_Dab1SFK_Obs,ApoER2_Dab1_released_Obs
15,0,-0.000101109670927694,0.000107935823833822,0.0640901600258951
15,0.00012207,-4.09664669118003e-05,-6.32396333840833e-05,-0.000446341569160486
15,0.00024414,-0.000332701158102788,-0.000136740801455779,0.0762572066629266
15,0.00048828,0.000273326001386445,-0.000174948402307964,0.13185473799446
15,0.00097656,-0.000815061654411243,-6.91342968081599e-05,0.0125116520701609
15,0.0019531,-0.000402605313589736,0.000241346369776705,0.199019416922627
15,0.0039062,0.000324190366078389,0.000340839499475113,0.11111222792816
15,0.0078125,0.000511412150727223,0.000686626920041837,0.298801742292149
15,0.015625,0.000752868804244871,0.000874123267700151,0.547358466665404
15,0.03125,0.000681718846816377,0.000856076202379959,0.568871648291626
15,0.125,0.00211659204016533,0.0012529799290505,0.526801135509825
15,0.25,0.00308391191564242,0.00116918855639369,0.914745795524826
15,0.5,0.00361346447736209,0.00127708209500281,0.849236909704858
15,1,0.00491443393333827,0.00114906021754105,0.836777133459204
