t,pApoER2_re_Dab1_Obs,ApoER2_re_Dab1SFK_Obs,ApoER2_Dab1_released_Obs
0,-7.18571051523262e-06,6.22830002095628e-11,-3.16009851533303e-07
10,NaN,NaN,1.92479199071201e-07
15,NaN,2.00308729082636e-10,NaN
20,-1.5773366410794e-07,NaN,NaN
25,NaN,NaN,8.25210852474718e-07
30,NaN,2.7316687538445e-10,NaN
35,NaN,NaN,6.10774286760412e-07
40,9.1568274605716e-06,NaN,NaN
50,NaN,1.4294315279256e-10,9.28251696558464e-07
60,7.59818476656524e-06,NaN,NaN
65,NaN,NaN,8.17127080747655e-07
70,NaN,1.71002163765297e-10,NaN
85,NaN,NaN,1.45968321009318e-06
90,2.30579434979962e-05,2.30462940798628e-10,NaN
100,2.28975028049188e-05,1.46225929959399e-10,1.62783125782352e-06
150,3.10259299710066e-05,2.72985766051937e-10,2.09806899531977e-06
200,2.93010645214658e-05,NaN,NaN
