t,ApoER2_Dab1SFK_Obs,pApoER2_re_Dab1_Obs,ApoER2_re_Dab1_Obs,ApoER2_Dab1_released_Obs,SFK_Obs,ApoER2_Dab1_Obs
0,3.98692918852712e-05,0,0,0.0121783691186768,0.000498689028901658,1.05283223465967
10,NaN,NaN,3.25228861030188e-05,NaN,NaN,NaN
15,2.70568777355074e-05,NaN,NaN,0.0541185818376973,NaN,NaN
20,NaN,NaN,NaN,NaN,0.00040159466768852,1.04743827055828
25,NaN,NaN,2.76906356117436e-05,NaN,NaN,NaN
30,2.58699261139985e-05,NaN,NaN,NaN,NaN,NaN
35,NaN,0.000971979756462575,NaN,0.0425932509651602,NaN,0.912710462697873
40,2.79492969837256e-05,NaN,3.07282630591612e-05,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,0.000446550081458391,NaN
50,NaN,NaN,3.18222188792536e-05,NaN,NaN,NaN
55,NaN,NaN,NaN,0.0511358185406488,NaN,0.848413513627126
60,3.08240824871665e-05,NaN,NaN,NaN,NaN,NaN
65,NaN,0.000750018023287615,3.00664731764974e-05,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,0.000563001451911739,NaN
75,3.59832351673529e-05,NaN,NaN,0.0523190008718685,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,0.946978292655076
85,NaN,NaN,2.31382703531151e-05,NaN,NaN,NaN
95,3.21494522376544e-05,NaN,NaN,0.044020649154027,0.00047804057064611,NaN
100,3.70173065239781e-05,0.000578339601535604,2.7861597535057e-05,0.0402341097323645,0.000441162854991276,0.758773630447038
150,3.40127902195729e-05,0.000393769394828641,2.43649116860394e-05,0.0253664580730332,0.000533976174731919,0.729152821336317
200,3.11572060066401e-05,0.000252027116964517,1.98296991051679e-05,0.0214879991421971,0.000576528725332564,1.00120672307718
250,3.53712932793506e-05,0.000129316070178861,1.91493749423471e-05,0.0182206074334474,0.000471500482385764,0.938891066868462
300,3.89784883864468e-05,7.7783803709977e-05,1.71713000814119e-05,0.011995780906339,0.000553648999781543,0.703232461710851
350,NaN,4.2256951600182e-05,NaN,NaN,0.000487501511733742,NaN
450,NaN,1.70128365354558e-05,NaN,NaN,NaN,NaN
550,NaN,6.03028022675186e-06,NaN,NaN,NaN,NaN
