t,Reelin_input,ApoER2_Dab1SFK_Obs,pApoER2_re_Dab1_Obs,ApoER2_re_Dab1_Obs,ApoER2_Dab1_released_Obs,SFK_Obs,ApoER2_Dab1_Obs
11,0,4.20010919562224e-05,0,0,0.0110041625361155,0.000621124485198366,0.976341459809952
11,0.00012207,4.07781665840921e-05,4.18119033122765e-08,2.84266867128191e-06,0.0131331997264259,0.000509292954223828,0.770459661012065
11,0.00024414,4.24848776917118e-05,8.61905021540219e-07,7.35435570514622e-06,0.0118230737349746,0.000606307121595986,1.05534184959638
11,0.00048828,5.17487196598733e-05,1.04198768312228e-05,1.91397351675152e-05,0.0153986375508713,0.000636916646039945,1.14319018273092
11,0.00097656,3.8228167606543e-05,4.29804930913894e-05,1.86781794175774e-05,0.0163644610604855,0.000615755455739715,0.872712151509689
11,0.0019531,4.30502814744263e-05,0.000149881626719283,1.99853893855038e-05,0.0227569131114223,0.000572563612362914,0.806734735917303
11,0.0039062,4.57488291885824e-05,0.000299550159727785,2.80833757093312e-05,0.0333180135242142,0.000481358515856996,1.09884929798723
11,0.0078125,3.07543976960312e-05,0.000790006512114013,2.90586388838896e-05,0.0500628699006946,0.000444983132202361,0.799641990379819
11,0.015625,2.97850497764191e-05,0.00168422932115213,2.88320036955994e-05,0.0808784467664828,0.000350879510487691,1.06682148363243
11,0.03125,1.48756864952333e-05,0.00323985166557092,4.95286080013087e-05,0.11949443294791,0.000229659604632804,0.889173144524765
11,0.125,5.72048091393912e-06,0.0106878307432043,0.00013173629249352,0.143843761795067,9.84774371563104e-05,0.950383042292449
11,0.25,3.23475684534418e-06,0.0180578067202165,0.00028664951872042,0.170767611785484,4.18886547875907e-05,1.01478851631484
11,0.5,1.60472546550672e-06,0.0486144672611988,0.000537568763318428,0.157777824218316,2.83112700463904e-05,0.882406813568384
11,1,6.50377484951454e-07,0.0778527117070137,0.000761757695335024,0.191402120699194,1.70100839975787e-05,0.632921699065398
