t,ApoER2_Dab1SFK_Obs,pApoER2_re_Dab1_Obs,ApoER2_re_Dab1_Obs,ApoER2_Dab1_released_Obs,SFK_Obs,ApoER2_re_Dab1SFK_Obs
0,4.04650518149914e-05,0,0,0.0129460625383556,0.000603076213855489,0
9,6.29296605578516e-07,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,NaN,0.178304812718693,NaN,NaN
20,7.67587871424268e-07,NaN,NaN,NaN,1.63002288573207e-05,NaN
25,NaN,0.119610110239157,0.000774953698462939,NaN,NaN,0.000545220463904895
30,9.09507212000731e-07,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,0.165696196249345,NaN,NaN
40,6.9868766958899e-07,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,1.70492300524779e-05,NaN
50,8.48453572774157e-07,0.107244503632138,0.000764295006740792,0.200684713567624,NaN,0.00057026340643052
65,9.86230263328895e-07,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,0.185508099037286,2.02714054405687e-05,NaN
75,NaN,0.0761880580674512,0.000615382632412573,NaN,NaN,0.000670579429718457
85,7.13829962247675e-07,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,0.19454933083462,NaN,NaN
95,NaN,NaN,NaN,NaN,2.10385583669037e-05,NaN
100,6.23545258898657e-07,0.0839957537976342,0.00055558986991319,0.199114932817261,NaN,0.000597537163162586
150,7.62383317574368e-07,0.0521795721284604,0.000346985506308826,0.181591943053261,4.20955559212005e-05,0.000601531094175171
200,NaN,0.0219908663465898,0.000192402393276674,0.130822491839241,5.96936900316442e-05,0.000525605637560562
250,NaN,0.00884038151949069,5.92190988787106e-05,0.111030575720555,0.000138270875107167,0.000450450194873775
300,NaN,0.00197878838964803,2.19085344331657e-05,NaN,0.000373202810326431,NaN
350,NaN,NaN,2.5871004407398e-05,NaN,NaN,0.000142405104973747
400,NaN,0.000384938413392527,2.31643321475492e-05,NaN,NaN,NaN
450,NaN,0.000212447115122013,NaN,NaN,NaN,NaN
