t,ApoER2_Dab1SFK_Obs,ApoER2_Dab1SFKInh_Obs,pApoER2_re_Dab1_Obs,ApoER2_re_Dab1_Obs,ApoER2_Dab1_released_Obs,SFK_Obs
0,1.07894230282338e-11,0.000716214932162773,0,0,4.56711871117065e-09,3.51748422977768e-10
7,9.37102737525697e-13,NaN,NaN,NaN,NaN,NaN
15,8.04157964088837e-13,NaN,NaN,NaN,NaN,NaN
20,8.70209658467802e-13,NaN,NaN,NaN,NaN,1.18501514145739e-11
25,NaN,NaN,NaN,NaN,1.99357274110567e-08,NaN
30,1.086039621332e-12,NaN,7.7643341169719e-07,0.336521040434345,NaN,NaN
35,NaN,0.000299278434705409,NaN,NaN,NaN,NaN
45,1.13609415695691e-12,NaN,NaN,NaN,NaN,1.2329028789008e-11
50,NaN,NaN,NaN,NaN,3.82843244674389e-08,NaN
55,8.7675674143533e-13,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,2.15674627475698e-06,0.826871909424788,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,1.19238864916848e-11
70,NaN,0.000189894988820895,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,5.18847360324934e-08,NaN
90,NaN,NaN,2.21681349697008e-06,0.703925809888379,NaN,1.01424361570041e-11
100,NaN,0.000112449292524354,3.39681886128417e-06,0.833956011647859,5.69749474608475e-08,1.51671997803999e-11
150,NaN,4.32446562421608e-05,2.5507400495925e-06,0.905160629123515,7.56834322352061e-08,1.57639731783311e-11
200,NaN,2.51601088899465e-05,3.02496353244256e-06,0.877644326990784,1.01537884377549e-07,2.46969392302668e-11
250,NaN,1.06519529027544e-05,2.93188261030449e-06,1.12163208409057,8.69518886830804e-08,3.60972402503998e-11
300,NaN,3.95297395762343e-06,3.64442769290801e-06,1.07723959401784,9.62057754859704e-08,2.82339703189877e-11
350,NaN,NaN,NaN,NaN,8.05786262617513e-08,3.39482599404758e-11
400,NaN,1.89481156221414e-06,3.83248135395045e-06,0.915136522947677,9.47830008168929e-08,3.57808027333751e-11
450,NaN,1.44160137289249e-06,4.10412173676435e-06,1.18432184110383,NaN,NaN
500,NaN,NaN,NaN,NaN,9.19493672114072e-08,4.05427759144184e-11
600,NaN,8.67344970058428e-07,3.35911307260091e-06,1.20760094562393,8.24729590271396e-08,NaN
