t,ApoER2_Dab1SFK_Obs,ApoER2_Dab1SFKInh_Obs,ApoER2_re_Dab1_Obs,ApoER2_Dab1_released_Obs,SFK_Obs,ApoER2_Dab1_Obs
0,1.59134280992175e-11,0.00063138476962895,0,4.03176373551132e-09,3.36093770190926e-10,1.09307505694493
7.5,NaN,NaN,NaN,5.0494744778194e-09,NaN,NaN
9,1.61096319795509e-11,NaN,NaN,NaN,NaN,NaN
15,NaN,0.000573489356068532,0,4.3999250147067e-09,NaN,NaN
20,1.39075955691197e-11,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,4.54882799221964e-09,4.13702939805536e-10,0.931819794429815
30,1.50050830368564e-11,0.000803996532897309,0,NaN,NaN,NaN
35,NaN,NaN,NaN,5.64649504396029e-09,NaN,NaN
40,1.42998060060539e-11,0.000602708423885394,NaN,NaN,NaN,NaN
45,NaN,NaN,0,3.90295604175713e-09,NaN,NaN
50,1.61203187161529e-11,NaN,NaN,NaN,NaN,0.90020831670208
55,NaN,NaN,NaN,3.57992895133404e-09,4.17036231904707e-10,NaN
60,NaN,0.00049266263975726,NaN,NaN,NaN,NaN
65,1.78065288984672e-11,NaN,0,NaN,NaN,NaN
70,NaN,NaN,NaN,2.93017062458706e-09,NaN,NaN
75,NaN,0.000482030697635093,NaN,NaN,NaN,1.07374697987595
85,1.6552898746956e-11,NaN,0,NaN,3.39328955863737e-10,NaN
90,NaN,NaN,NaN,4.07398966386256e-09,NaN,NaN
95,NaN,0.000661783689670466,NaN,NaN,NaN,NaN
100,1.61564030543676e-11,0.000570185738883347,0,NaN,3.73719490547368e-10,1.12205969090727
150,NaN,0.000639335701787918,0,NaN,4.19758266914731e-10,0.907293562423189
200,NaN,0.000573236116191018,0,NaN,4.4193332047742e-10,1.03839815188832
250,NaN,NaN,NaN,NaN,4.50379803066967e-10,1.19975515818955
300,NaN,NaN,NaN,NaN,4.30729324945417e-10,1.0920902666223
350,NaN,NaN,NaN,NaN,4.97185455323911e-10,1.07073996456198
450,NaN,NaN,NaN,NaN,3.24370605064111e-10,0.960022294611141
550,NaN,NaN,NaN,NaN,3.60781408235145e-10,1.5167312461382
