t,pSTAT_Obs,nSTAT1_Obs,nSTAT3_Obs
0,8.7918886939181e-06,8.80296230526191e-05,0
5,NaN,NaN,0.0328894472108843
7,0.0033597376904096,NaN,NaN
9,NaN,0.165637709215001,NaN
10,NaN,NaN,0.117621094755298
15,0.00655119957274725,NaN,0.153733234149764
20,0.00481105152668664,0.145979489650525,0.126481946795506
30,0.00367990158132922,0.100744131026141,0.120150917174144
35,NaN,NaN,0.101564060432066
40,0.00249368079334213,0.0674888534051011,NaN
45,NaN,NaN,0.0524959476087414
50,0.00131696456168022,0.0410525071800858,NaN
55,NaN,NaN,0.0444902041613248
65,0.000529446553633832,0.0143868518010843,0.0144676460699831
75,0.000204938499741393,NaN,NaN
80,NaN,0.00529257661788051,0.0075259832680809
95,9.62633163127565e-05,0.00176482425351207,0.00186147762064684
100,0.000188102421883694,0.00114574470769412,NaN
150,NaN,0.000186772690147314,NaN
