t,Naive_Obs,LateEffector_Obs,Pathogen_Obs
0,8361.2696921234,172.041626102393,1.09316317333668
0.3,5138.7582028901,NaN,NaN
0.65,2839.64785338208,NaN,NaN
0.95,1673.40167423283,NaN,NaN
1.5,1086.71603887742,NaN,NaN
2,294.373862715844,NaN,NaN
2.5,345.626457777843,NaN,1.29028043881939
3,-8.15458758186206,NaN,NaN
3.5,129.561335019208,570.417201067937,NaN
5,NaN,NaN,1.23138309867018
7,NaN,589.841398488136,NaN
8,NaN,NaN,1.62995787102501
10,NaN,2078.82858929062,1.62979386321436
15,NaN,11102.7515680831,0.312742602133701
20,NaN,8885.88274532942,0.164593322822945
25,NaN,6703.28487571387,0.0345482991979835
30,NaN,4896.09385118808,-0.125547318187439
40,NaN,3599.89055120545,0.0795573904906079
45,NaN,3289.95924127178,NaN
55,NaN,2206.72490703802,NaN
70,NaN,754.515222802443,NaN
