t,Z_state_Obs,Y_state_Obs,A_state_Obs
0,0.12654299014662,1.06121825035038,0.971483671457483
0.15,0.299260296153541,1.28206403683507,NaN
0.2,NaN,NaN,1.66456744346301
0.3,NaN,0.792652675580258,NaN
0.35,0.490987215519243,NaN,0.00396262526510835
0.45,NaN,0.679632082001047,NaN
0.5,0.5825131949674,NaN,NaN
0.55,NaN,NaN,0.230427953762599
0.6,NaN,0.469876291964217,NaN
0.7,0.559628498939482,NaN,NaN
0.75,NaN,NaN,0.308691538070142
0.8,NaN,0.257962647987858,NaN
0.95,0.461933686669099,NaN,NaN
1,0.431753155826228,0.226347156540749,0.379753198828634
1.5,0.448974246086775,0.268277257894729,0.755131412506377
2,0.435378143813244,0.189775704485856,0.776540651397079
2.5,0.404840973992798,0.194021054155942,0.859948720256247
3,0.390426520497088,0.22773754477629,1.00854411917071
3.5,NaN,NaN,0.85086534426774
