t,RAF_Obs,MEK_Obs,pMEK_Obs
0,0.90152097670149,2.09004178080971,0.0022650099380194
0.25,1.07265491633558,NaN,NaN
0.3,NaN,2.44384936347848,NaN
0.45,0.935886289736916,NaN,NaN
0.6,NaN,0.686268402602553,NaN
0.7,0.900263938069015,NaN,NaN
0.95,NaN,1.14406529215681,NaN
1,0.37633544246491,NaN,NaN
1.5,0.751264300057102,0.871994152511484,NaN
2,0.984611387241239,2.41353935762487,NaN
2.5,1.07103393270814,NaN,NaN
3,NaN,0.736082818287554,NaN
3.5,0.997968545296099,0.766511413786744,0.00048325893039958
4,NaN,2.08662116730722,NaN
5,NaN,1.10160446519382,NaN
8,NaN,NaN,0.000303871592618993
15,NaN,NaN,0.000550712783062085
20,NaN,NaN,0.00214145510365895
