t,RAF_Obs,MEK_Obs,pMEK_Obs
0,1.358883307354,2.50462839952606,0.00130496305830672
0.25,1.44074983803353,NaN,NaN
0.45,0.904998695554889,NaN,NaN
0.65,NaN,1.33891178559949,NaN
0.75,1.21161151042628,NaN,NaN
1,0.93580347660604,NaN,NaN
1.5,0.651875523145517,1.08502047948404,NaN
2,0.609391802131933,1.78178893327064,0.00105394314453736
2.5,1.54591015339612,NaN,NaN
3,0.864394329989424,1.52411279958382,NaN
3.5,NaN,0.240031523505228,NaN
4,1.18137100354466,NaN,NaN
4.5,NaN,1.3986332636462,0.00836733230877827
6,NaN,1.55835731529561,NaN
7,NaN,0.491957153936372,0.000893221297372304
8.5,NaN,1.90389377749502,NaN
9.5,NaN,NaN,0.000731423503297687
10,NaN,2.09605128014614,0.00326769489134855
15,NaN,0.837301847607524,0.00117739929894136
20,NaN,NaN,0.000630466729713115
25,NaN,NaN,0.00102311252058023
