t,RAF_Obs,MEK_Obs,pMEK_Obs
0,1.21751299080652,1.29696371172282,0.00138781289754729
0.5,NaN,0.379515935330482,NaN
0.9,1.67260879031155,NaN,NaN
1,NaN,0.725589278831718,NaN
1.5,NaN,2.76267572411161,NaN
2,1.48617972585393,2.59307740712225,NaN
2.5,NaN,2.19739203777989,NaN
3,1.01737961415786,NaN,NaN
3.5,NaN,0.741826049522734,NaN
4,1.12868587029818,1.5662163980397,0.0206020611257203
5,0.540374697241464,1.59615020113667,NaN
6,NaN,0.665801175823495,NaN
6.5,1.02461058762986,NaN,NaN
7.5,NaN,1.59395010629443,NaN
8,NaN,NaN,0.0190217875309438
8.5,1.43471779254091,2.75265451782456,NaN
10,1.21461499521612,NaN,NaN
15,0.785904313537716,NaN,0.00347700195981712
20,NaN,NaN,0.00785715834055231
25,NaN,NaN,0.00999525999594092
