t,IR_Obs,IRins_Obs,IRiP_Obs,IRi_Obs,IRS_Obs
0,10.0646175298924,1.49869167471536,1.69786689638625e-05,-0.157826129095902,8.48257810892612
2,0.289618954622735,NaN,NaN,NaN,6.18307831648881
2.5,NaN,8.74482363402146,0.00017217593330531,NaN,NaN
4,0.651059208939442,NaN,NaN,1.16149801278861,7.08512133966482
5,NaN,6.98117901636854,0.000165654255822791,NaN,NaN
6,-0.32945896160664,NaN,NaN,NaN,7.273564561588
8,NaN,9.19826948192287,0.000207471692301242,NaN,6.86563683655758
8.5,0.095441984794455,NaN,NaN,1.08203555176101,NaN
10,-0.0729054560957726,7.51009601729078,0.000221073330732416,NaN,9.89278608816245
15,0.222752280658283,7.74442482725898,0.000172863508336187,2.3757429634067,8.43145543431693
20,-0.110474699163634,7.96509981866634,0.000180943863659582,3.19066695799365,10.1113031345594
25,0.0313523674659893,6.27682921597509,0.000128892821088147,3.0720765680955,9.0169904575399
30,NaN,7.85570691672321,0.000141786527088501,3.70578463823784,NaN
35,NaN,7.0245229278544,NaN,NaN,NaN
40,NaN,NaN,NaN,3.25419600582565,NaN
45,NaN,5.32379202930594,NaN,2.9690276789741,NaN
55,NaN,8.33048138076148,NaN,NaN,NaN
60,NaN,NaN,NaN,3.54442785517635,NaN
70,NaN,NaN,NaN,3.4951364984878,NaN
