t,Z_state_Obs,Y_state_Obs,A_state_Obs
0,0.0579923103286181,1.74306757868869,0.818233722720325
1,0.888642598928803,NaN,NaN
1.5,NaN,NaN,0.181236570428273
2,0.440265024255393,NaN,NaN
3,0.795718478524112,NaN,NaN
3.5,NaN,1.08745879680528,0.17988472339984
4.5,0.206340892220916,NaN,NaN
5,NaN,NaN,0.158227986980718
5.5,0.84667577146479,NaN,NaN
7,0.339648137282616,2.76965676420397,0.184779277770092
9,0.286497354815087,NaN,0.182973798227913
10,0.668985571972322,0.859352939782074,0.178374173886805
15,0.177563378177949,1.8604765232688,0.281351734388346
20,0.77160201703854,2.20585313140936,0.152431684547334
