t,pEGFR_Akt_Obs,Akt_Obs
0,6.23045652922722e-08,0.0224344949011425
400,NaN,0.00331453647966397
500,0.000113375159542444,NaN
800,NaN,0.00264901682240553
1000,4.11907969870261e-06,0.0106976310198489
1500,2.86235247894133e-06,0.0117263949924787
2000,2.09749528806801e-06,0.010720431043208
2500,1.15882929604927e-06,0.0136800713641015
3500,8.3705035481513e-07,0.0321986203555399
4000,NaN,0.0256810213817248
4500,8.00392374603935e-07,NaN
5000,NaN,0.0305919522616367
5500,1.41736260517042e-06,NaN
6000,NaN,0.0155081498844314
6500,2.1510115132687e-06,NaN
7000,NaN,0.0148089896076192
8000,1.40473662837634e-06,NaN
