t,pEGFR_Akt_Obs,Akt_Obs
0,1.71642274792385e-07,0.0484079424763526
400,0.000145199173452545,NaN
450,NaN,0.00399174236476128
850,0.000106416245776276,NaN
900,NaN,0.00283072149101147
1500,9.97589991949717e-06,0.0112248011796639
2000,1.9429436802696e-05,0.00672477721281134
2500,1.48776918073164e-06,0.0151404091289817
3000,8.74937246790067e-07,0.020008946106735
4000,9.83185460132288e-07,0.0143974011564947
5000,1.12327446429641e-06,0.00993344508639136
6000,NaN,0.0140325425501813
7000,NaN,0.00744021543040304
8500,NaN,0.0252636996394989
