t,pEGFR_Akt_Obs,Akt_Obs
0,1.2578835885872e-07,0.0231770054281649
300,0.000119904869302868,NaN
350,NaN,0.00400505474687116
650,1.47871748860415e-06,NaN
700,NaN,0.0152048571479969
1000,1.16305015845351e-06,0.0131001585141369
1500,1.1029941373055e-06,0.0139826985584016
2000,1.73458616162605e-06,0.0193480753477566
2500,1.77859400311435e-06,0.0180430895059092
3000,2.1830667875611e-06,0.0175764103169312
3500,3.73128772073361e-06,0.0153429947089828
4500,NaN,0.0129156604126025
5500,NaN,0.0160813083426132
