t,pEGFR_Akt_Obs,Akt_Obs
0,5.76012344669113e-08,0.0178717375257829
350,0.000121523564947673,NaN
500,NaN,0.00501730060503688
700,5.12879117203671e-05,NaN
1000,0.000108743518734442,0.00978833146986537
1500,4.28100577928196e-05,0.00482772706497343
2000,1.59007369886623e-05,0.00363841670924106
2500,1.4161734799813e-05,NaN
3000,8.31994983470103e-06,0.0058179223525076
3500,NaN,0.0117704522308293
4000,1.75565770147513e-06,NaN
4500,1.25476980192341e-06,0.0185363693679638
5500,NaN,0.013591244212732
6500,NaN,0.0153555481926477
8000,NaN,0.0143640978632369
