t,Rec_Obs,S4_Obs,ppS2_ppS3_S4_Obs,geneC_Obs
0,2.08639492126328,129.012566555735,0.0111182306518773,0.939564460971026
10,NaN,87.43699628522,0.447985985926869,1.11019047731222
15,1.3805769128922,NaN,NaN,NaN
20,NaN,76.4130507912534,NaN,1.00716154546662
25,0.871598749450437,NaN,-0.303818999025908,NaN
30,NaN,98.0171107605036,NaN,1.17167270345541
35,NaN,NaN,-0.118021229119327,NaN
40,1.17649907177024,NaN,NaN,NaN
45,NaN,128.875221299689,NaN,1.46911630747406
50,NaN,NaN,0.160680015448367,NaN
60,1.84851846200397,120.700649479356,NaN,1.05311351061681
65,NaN,NaN,0.0117839417373697,NaN
75,1.98091821352434,78.5210788190231,NaN,1.60892589791259
85,NaN,NaN,0.451988990455217,NaN
90,NaN,78.1397025821778,NaN,NaN
100,1.21190407963416,NaN,NaN,NaN
