t,Rec_Obs,S4_Obs,geneC_Obs
0,1.48079051872566,120.675707168994,1.16025102366469
35,NaN,74.940447707952,NaN
60,NaN,NaN,1.13119569580965
70,1.32998283502818,NaN,NaN
75,NaN,45.1442835082543,NaN
100,NaN,57.036917697436,NaN
150,1.1977160645781,47.7636880616599,2.21404653974
200,0.924155119793633,32.9877837772485,5.12549046822615
250,NaN,15.957121091557,3.69872642584244
300,0.861577845122491,59.6534581221708,NaN
350,0.94755294973857,92.4330221009264,6.39954036286022
400,NaN,59.0991889056838,4.75952628677813
450,0.662735060680076,NaN,NaN
500,NaN,101.190226536414,2.82487520567361
550,0.58591061167135,NaN,NaN
600,NaN,100.807862420016,4.19784541684007
700,0.894036665986563,139.581027705159,NaN
750,NaN,NaN,5.52991763431567
800,NaN,123.753189018199,NaN
850,0.361080394263765,NaN,2.03505038389618
950,NaN,115.25245113543,NaN
1000,0.640573315395634,NaN,1.29347812044015
1500,0.28272713691979,NaN,2.16564032594291
