t,TGFb_Obs,S2_Obs,ppS3_S4_S4_Obs,geneK_Obs,geneL_Obs
0,-0.127457093058962,144.184497635072,0.119985016374567,0.721134427291449,1.20615905002236
10,NaN,167.604084786975,-0.0557253798955435,NaN,NaN
15,0.205760414295931,NaN,NaN,0.799395886990816,1.5194358067944
25,0.588927441308893,70.0843772958993,-0.249734757905762,NaN,NaN
30,NaN,NaN,NaN,1.22902648632377,0.807555214276901
40,NaN,71.0957081125952,-0.548658277353457,NaN,NaN
45,-0.219370807952356,NaN,NaN,0.351157124941845,1.02693231078769
55,NaN,162.155238687223,-0.460963796298526,NaN,NaN
60,-0.191566576613323,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,0.97596435498177,1.06983243406937
70,NaN,156.0403156879,NaN,NaN,NaN
75,NaN,NaN,0.0823127858606718,NaN,NaN
85,-0.206460692325372,NaN,NaN,1.19586991609897,1.14574249306676
95,NaN,104.171958930127,-0.00394289515343694,NaN,NaN
100,NaN,NaN,NaN,1.34700702220759,NaN
