t,TGFb_Obs,S2_Obs,ppS3_S4_S4_Obs,geneK_Obs,geneL_Obs
0,0.203432299480191,173.493525228234,-0.133292403972731,1.2736823065832,1.10230081931353
9.5,NaN,NaN,0.314733353434514,NaN,NaN
10,-0.502885884948773,161.286945389664,NaN,NaN,0.937212443184482
15,NaN,NaN,NaN,0.638674198007955,NaN
20,NaN,108.810432476572,0.344858779610216,NaN,1.38684715197979
25,0.049669312045723,NaN,NaN,1.2089831974504,NaN
30,NaN,NaN,-0.0842687473517506,NaN,NaN
35,NaN,95.1378497532955,NaN,NaN,0.83806342805658
40,0.136331769271561,NaN,NaN,0.929183115856313,NaN
45,NaN,157.002043423184,-0.0297037510616144,NaN,NaN
50,NaN,NaN,NaN,NaN,0.813860851879607
55,0.161872097572808,NaN,NaN,NaN,NaN
60,NaN,130.298885206102,0.368217648000011,1.39607055516597,NaN
65,NaN,NaN,NaN,NaN,0.988505136233283
75,-0.197852829586882,NaN,-0.00100800059396654,NaN,NaN
80,NaN,111.2488866623,NaN,1.05830800601598,0.971720417876569
95,0.353462347964118,198.428116946382,NaN,NaN,NaN
100,NaN,NaN,NaN,1.30817746287052,NaN
