t,TGFb_Obs,S2_Obs,ppS3_S4_S4_Obs,geneK_Obs,geneL_Obs
0,-0.00954053942843574,324.260795665911,-0.156553430400044,0.642348823680584,0.810683264417277
9,NaN,NaN,-0.124393514075804,NaN,NaN
10,-0.305069699529108,332.421484846767,NaN,1.16758835718563,0.95299678601088
20,NaN,NaN,0.180577989564618,0.708044203822638,1.174203198364
25,0.171156815772156,199.321758254934,NaN,NaN,NaN
30,NaN,NaN,-0.178116812622197,NaN,NaN
35,-0.23072103600962,NaN,NaN,1.0308995712516,0.771317939251793
40,NaN,201.010268769826,-0.133594025029653,NaN,NaN
45,NaN,NaN,NaN,0.753748999069397,1.10500494675486
50,0.402720767174715,NaN,0.0532383652014519,NaN,NaN
55,NaN,482.450723324589,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,0.717603720027525
65,NaN,NaN,-0.110761297568745,1.3464240530168,NaN
70,-0.0431264963169515,339.214892577971,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,0.537206053346355
80,NaN,NaN,0.0178030412882453,1.24777187928156,NaN
90,-0.175691701712113,305.754967448427,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,1.24905776414142
