t,TGFb_Obs,S2_Obs,S4_Obs,geneK_Obs,geneL_Obs
0,1.21193520448502,117.681996979946,68.007081527562,1.10320074692142,1.13520847054561
60,NaN,NaN,75.2432964520462,NaN,NaN
65,NaN,36.5650854049956,NaN,NaN,NaN
70,NaN,NaN,NaN,0.763636673441759,0.688797943155682
75,0.702997581198625,NaN,NaN,NaN,NaN
100,NaN,NaN,57.6667264940259,NaN,NaN
150,0.237415560800427,88.2525495666559,NaN,0.650314463782955,0.245950679794199
200,NaN,59.2011731401745,77.6244637816872,0.572137419444706,0.414340335332615
250,0.313038000454018,NaN,69.2147794156232,NaN,NaN
300,0.299353211516992,26.1889893640566,52.9051932643834,0.590671191246018,0.270308243233847
350,NaN,141.422821473569,NaN,NaN,0.593149504298461
400,0.219160630848137,NaN,42.6023290461272,0.45589135102515,NaN
450,NaN,99.5620326832237,NaN,NaN,0.378047556587647
500,0.23581717062735,NaN,71.0139500047257,0.668677334084653,NaN
550,NaN,NaN,NaN,NaN,0.203889371551527
600,NaN,140.302143867326,43.1251077413071,0.399816276478268,NaN
650,0.0568926565567804,NaN,NaN,NaN,NaN
700,NaN,172.379907183284,43.5071038576306,NaN,0.410455513163447
750,NaN,NaN,NaN,0.214094127313307,NaN
800,0.047128615226646,NaN,NaN,NaN,NaN
850,NaN,149.026156936164,48.1727181742394,NaN,0.544628369558068
950,NaN,NaN,NaN,0.2738413860823,NaN
1000,0.0992466350130547,149.682185478477,68.999894923226,0.296937639742185,0.754547347573914
1500,-0.028802126332611,161.624448966886,57.8749562494807,0.282567081768796,0.772334482357941
