t,Rec_Obs,S4_Obs,geneC_Obs
0,1.87912739886105,76.9303035915502,1.58436955972089
40,NaN,35.6411139407112,NaN
60,1.45681180359376,NaN,3.21236141486987
80,NaN,13.5799890420045,NaN
100,1.11110305697039,40.3725436406454,1.42816166792791
150,NaN,37.359130578405,NaN
200,0.739180590461162,24.6552382725977,4.25762164318152
250,0.969933105124746,48.8878483609118,4.55935628723709
300,NaN,25.0055516114656,NaN
350,1.16274581486442,NaN,4.50508292804921
400,0.65990018829133,35.4401939527794,2.70853781163851
450,NaN,47.8752767837839,NaN
500,0.665743340908009,NaN,3.26709431867623
550,NaN,48.2232639088513,NaN
600,0.800154092329273,NaN,3.54324322557011
650,NaN,45.7990590964815,NaN
750,0.467935580547316,49.404412394758,5.48450217002485
900,0.691497915638967,58.7941352924044,3.30561121922296
1000,0.555292660466606,NaN,3.93145076921545
1500,0.628668704491691,NaN,0.732118523341368
