t,TGFb_Obs,S2_Obs,ppS3_S4_S4_Obs,geneK_Obs,geneL_Obs
0,0.109297556457499,175.295239108702,-0.0262666457040359,1.73569547648195,1.48378524363188
10,-0.356071822443261,133.788136759322,-0.516630218625032,0.653286156231739,0.788817896239881
20,NaN,112.362250875162,NaN,NaN,NaN
25,0.120562325776213,NaN,-0.16770156904545,0.983603216060696,0.993679083973813
35,NaN,98.883578707694,NaN,NaN,0.738406566164393
40,-0.113851874559161,NaN,0.388689102912373,1.24169608079746,NaN
45,NaN,166.018465964261,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,1.07992004733991
55,0.252621227879791,NaN,-0.146333176471829,0.84215149666154,NaN
60,NaN,191.181465546162,NaN,NaN,NaN
70,0.634800349272955,NaN,0.427425304049474,0.825385814951541,1.16311901607763
80,NaN,91.4874915715828,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,1.0342845253881
90,0.187185322725957,NaN,-0.518853509211679,1.07920435828385,NaN
