t,TGFb_Obs,S2_Obs,geneC_Obs,geneK_Obs,geneL_Obs
0,0.940193411850008,122.575639232732,1.4521638359776,0.654273061505423,0.500604711851597
50,NaN,69.4638957329233,NaN,NaN,NaN
60,NaN,NaN,1.84884821570505,NaN,NaN
65,0.599510523452238,NaN,NaN,0.822810844606731,NaN
85,NaN,NaN,NaN,NaN,0.688957522802167
100,NaN,51.7649262854149,2.46723571369797,NaN,NaN
150,0.473061308162642,83.4687829917419,NaN,0.519926603254418,0.847937522824811
200,0.481377381367282,43.4173531761106,1.74291383385548,0.963932243849793,NaN
250,NaN,113.991102161912,4.14983931507049,NaN,0.71189012941453
300,0.0780324666978255,NaN,NaN,0.657979363459842,NaN
350,0.145242075881721,122.949825174195,4.34789087878296,0.409573342066172,0.536283832906564
400,NaN,76.6983763836382,3.73654037752497,NaN,NaN
450,0.0798201746588513,NaN,NaN,0.578179312760976,NaN
500,NaN,128.365651842707,3.50270561459936,NaN,0.563717700638028
550,0.207194161346041,NaN,NaN,0.868296195080355,NaN
600,NaN,111.461342621581,4.77916184332734,NaN,0.955520000005822
700,0.11479620791501,NaN,NaN,0.881815960736694,NaN
750,NaN,137.621595982238,4.35605211280164,NaN,0.61269341942675
850,0.0869885785030709,NaN,3.3277321541444,0.786914977878759,NaN
900,NaN,130.802228170722,NaN,NaN,NaN
950,NaN,NaN,NaN,NaN,0.892823894668157
1000,0.126573741447934,132.905634561455,2.1181068890012,0.504853009982147,0.71312079333799
1500,-0.0361832741747978,NaN,0.329337278354475,NaN,0.883977392917899
