t,TGFb_Obs,Rec_Obs,S2_Obs,geneK_Obs,geneL_Obs
0,0.963317107476263,1.93758793435281,199.973764156169,0.814338874894763,0.723285992117097
60,NaN,NaN,106.827615568742,NaN,NaN
65,NaN,1.35508669802536,NaN,NaN,NaN
70,NaN,NaN,NaN,0.949241470016089,0.561321348529388
75,0.688506553910175,NaN,NaN,NaN,NaN
100,NaN,NaN,88.154126759219,NaN,NaN
150,0.521663416976525,0.885994108117796,NaN,1.30396152779717,0.856259053845287
200,NaN,0.932510031818529,69.3090932662722,0.935078670879869,0.568350660057884
250,0.209037340623929,NaN,87.1063939498818,NaN,NaN
300,0.274393683670248,0.894326314570462,95.2288373051583,0.643859605730569,0.86604957135864
350,NaN,0.817625123060467,NaN,NaN,NaN
400,0.0570563586361974,NaN,53.3677833271933,0.737486407246651,0.502367191439836
450,NaN,0.367712248795164,NaN,NaN,0.279271686336059
500,0.2018737067006,NaN,151.587209948348,0.548631779604329,NaN
550,NaN,0.712388824185732,NaN,NaN,NaN
600,NaN,NaN,136.377408545327,0.942758092709276,0.556409858969284
650,0.0658329312245506,NaN,NaN,NaN,NaN
700,NaN,0.456170784223669,NaN,NaN,0.699777118198167
750,NaN,NaN,127.618438123886,0.374991822783946,NaN
800,0.0966043287876484,NaN,NaN,NaN,NaN
850,NaN,0.86250480205932,NaN,NaN,0.950315886766363
900,NaN,NaN,150.380803130277,NaN,NaN
950,NaN,NaN,NaN,0.732780267303068,NaN
1000,0.117167859618937,0.561888635726143,116.684591077291,0.438956627886274,0.829841169832202
1500,0.0338024343272817,0.312833719910501,136.751851973282,0.435450062723242,1.06353474433266
