t,TGFb_Obs,S2_Obs,geneC_Obs,geneK_Obs,geneL_Obs
0,0.983344925053445,300.462204087028,1.35819858995496,0.935314159054403,0.899907975847297
40,NaN,201.285319618111,NaN,NaN,NaN
60,NaN,NaN,2.30703174886796,NaN,NaN
75,0.747830374419155,NaN,NaN,0.979343993247893,0.824269128060054
85,NaN,123.287274111702,NaN,NaN,NaN
100,NaN,NaN,2.59267602378289,NaN,NaN
150,0.534628241995275,165.052530772208,NaN,0.597312710361298,0.417261643461188
200,NaN,209.63542202834,2.1625689986053,NaN,NaN
250,0.294837344641856,NaN,3.75347950597527,0.661271495604882,0.535160912418532
300,0.245372593034111,347.488253043698,2.83697176973637,NaN,0.557182078493855
350,NaN,262.874859003977,NaN,0.637386045760247,NaN
400,0.19259212574811,264.176461185126,3.13551030459061,NaN,0.360255323103243
450,NaN,NaN,NaN,0.33067347349488,NaN
500,0.201785688628479,238.867998953508,4.28944861272785,NaN,NaN
550,NaN,NaN,NaN,0.505374448489568,0.679946024532333
600,NaN,251.947400387474,4.16412642312969,NaN,NaN
650,0.171429092236469,NaN,NaN,0.593319456567272,0.786842596390252
700,NaN,278.802955710773,3.7113503502927,NaN,NaN
800,-0.0583741489745599,NaN,NaN,0.650784585993025,1.20164069975178
850,NaN,231.618269929941,2.87588947585197,NaN,NaN
1000,0.0212597241938712,335.054592147587,1.75969342464046,0.530165274478896,1.28898737627877
1500,0.0156865221780084,NaN,2.15854083210949,0.382788693918692,0.770824160413554
